author,comments,reply_comments,reply_authors,update
气宇轩昂的夏浩源,还是民企汽车强就剩下这些国企央企的汽车厂起不来，国企还是国企管理就是不一样,,,05-25
涅槃88888,长安汽车主力经过一年多的建仓吸筹，即将走主升浪行情了，华为公主加入是点火,,,05-25
炒股赚包烟钱,曙光汽车有吉利和丹东重组预期，氢能源重卡，出口阿联酋，俄罗斯海外多地，车桥之王，,,,05-23
博士后论股,警钟长鸣——一退市前多次提醒警告了！到时候不要哭爹喊娘。已申请注销生产资质。江南,,,05-24
博士后论股,警钟长鸣——一已申请注销生产资质。江南商标已驳回没有效了,,,05-24
杭州小汪,关于北汽，还有一个要明确的是北汽蓝谷是30-50万的华为汽车的唯一合作伙伴，中国,,,05-23
一颗菜1,很神奇，大盘板块涨了一个月，它一动不动，这稍微回调一点。烂股就首当其冲,,,05-23
股友710l1a6673,真墨迹,,,05-23
惬意的温琦,517390下午雄起，速度买入,,,05-23
葛大壮,517390下午，加油冲鸭弟兄们,,,05-23
股友8U981d0932,汽车板块给大家竖中指吗,,,05-22
股民湘,没买江淮的都买北汽。北汽蓝谷销量前三名，实质性利好啊！第二个江淮也！,,,05-22
韭菜给别人养爸妈,明天到整车了吧,,,05-21
从零起步1,两江赛比,,,05-21
炒股赚包烟钱,曙光汽车才摘帽，拥有26个全车牌资质，有丹东国资和吉利收购预期，今年车桥增速20,,,05-16
掐指算涨停,板块之间先先涨啥后涨啥是不是有迹可循呢,,,05-19
三峡能源A,倒数第一,,,05-16
一路稳健,表现不错,,,05-16
财之海洋,前几年的军工都翻几倍了，汽车怎么回事还不来几倍,,,05-16
十一是小哥哥,实在没想到你能绿的,,,05-13
有魄力的冷小泥,“IGV智能引导车通过先进的无人驾驶技术，能够实现在港口环境中的高效、安全运输。,,,05-08
有魄力的冷小泥,中国无人驾驶商用车在港口场景的市场规模正经历快速扩张，随着技术进步和应用普及，中,,,05-08
有魄力的冷小泥,加强安全培训、发出联合安全倡议、推进技术研发……近期，车企和供应商纷纷弱化对智能,,,05-08
财之海洋,大众交通它们都又回来了，汽车整车给力点呀,,,05-07
独立的爱飘心111,有考虑把长安汽车移除板块吗？不想带它玩可以直说,,,05-06
股民的股,黑猫啥时候来点利好啊,,,04-28
海洋战略工程2030,业绩变脸太快，顺间觉得市盈率11的深海采掘科技龙龙好香。,,,04-26
梦境的游人,又有什么消息了？开始砸盘了,,,04-25
股友235231gQ03,五一放假私家车买那款好,,,04-25
独立的爱飘心111,不想带长安汽车玩可以把长安汽车移除板块，不怪你,,,04-22
惬意的温琦,159770速度买入，加油冲，弟兄们,,,04-22
谨言慎行五十,汽车板块又是走独立行情吗,,,04-17
风光在险峰难得见,汽车板块反弹还是不错的！东风股份有点差！,,,04-16
涨停发财,lj,,,04-16
涨停发财,泵pan快pai,,,04-16
涨停发财,蹦盘快跑,,,04-16
大叔抵不住诱惑,拉几板块，居然让两个ST当老大,,,04-16
股友6n715f0309,$汽车整车(BK1029)$,,,04-16
蒸蒸日上83158,真烂，汽车月线跌4.6个点，大盘月线跌2个点，你暴跌18个点，汽车行业26家，你,,,04-15
和大多数人作对,2个没机构和量化的st第一第二,,,04-15
烦躁的小熊,广弃这垃圾就是个广告公司，都别进,,,04-14
n2146133299363506201,汽车板正在寻球接盘,,,04-14
大豪总,海马汽车还有救吗。为啥一直跌跌不休,,,03-25
慢牛多调整,近1年，汽车板块涨了23%，长安跌了23%，这46%的差距还补吗？,,,04-14
n369213688741518,江淮你可是拉圾了，去看看全市场有几家绿的，为了尊界的一切。,,,04-09
大叔抵不住诱惑,拉几板块，不如两个ST股,,,04-10
假药无底洞,汽车板块啥时候来个主升浪呀,,,04-10
气冲盛和升金,现在中国与老美进行对决的关键时候，任何做空的们都不会有好下场的。为了维护咱们,,,04-08
股友9M76802G90,又倒数第一,,,04-09
谨慎的吕蕴庚,这个板块就没有见它涨过。看来汽车是没有人要的玩意呀。,,,04-09
股友89c7y76529,港股汽车涨那么多,,,04-08
十一连冠,汽车整车，现在好弱啊。,,,04-08
股友235231gQ03,汽车股全部跌停了,,,04-07
股民湘,中国新能源汽车，特别是江淮汽车没有出口美国，主要是欧亚和非洲，不受关税影响。东风,,,04-06
